00:00:00.000.002.500 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.003.243.200 M          <System.Windows.MenuControl.MouseOverBrush() const
00:00:00.003.244.800 M          >System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.003.244.900 M          <System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.003.244.900 M          >System.Windows.MenuControl.ShadowBrush() const
00:00:00.003.245.000 M          <System.Windows.MenuControl.ShadowBrush() const
00:00:00.003.245.000 M          >System.Windows.MenuControl.BlackBrush() const
00:00:00.003.245.100 M          <System.Windows.MenuControl.BlackBrush() const
00:00:00.003.245.100 M          >System.Windows.MenuControl.BlackPen() const
00:00:00.003.245.200 M          <System.Windows.MenuControl.BlackPen() const
00:00:00.003.245.200 M          >System.Windows.MenuControl.DarkPen() const
00:00:00.003.245.200 M          <System.Windows.MenuControl.DarkPen() const
00:00:00.003.245.300 M          >System.Windows.MenuControl.GetFont() const
00:00:00.003.245.300 M          <System.Windows.MenuControl.GetFont() const
00:00:00.003.245.400 M          >System.Windows.MenuControl.Format() const
00:00:00.003.245.400 M          <System.Windows.MenuControl.Format() const
00:00:00.003.245.500 M          >System.Windows.MenuControl.MenuOpenColor() const
00:00:00.003.245.500 M          <System.Windows.MenuControl.MenuOpenColor() const
00:00:00.003.245.600 M          >System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.003.245.700 M           >System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.003.245.700 M            >System.Windows.MenuItemBase.Location() const
00:00:00.003.245.800 M            <System.Windows.MenuItemBase.Location() const
00:00:00.003.245.800 M            >System.Windows.MenuItemBase.GetSize() const
00:00:00.003.245.900 M            <System.Windows.MenuItemBase.GetSize() const
00:00:00.003.246.000 M            >System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.003.246.000 M            <System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.003.246.100 M            >System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.003.246.100 M            <System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.003.246.200 M            >System.Windows.MenuItem.Selected() const
00:00:00.003.246.200 M            <System.Windows.MenuItem.Selected() const
00:00:00.003.246.300 M            >System.Windows.MenuItemBase.Level() const
00:00:00.003.246.300 M             >System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.003.246.400 M              >System.Windows.Component.GetContainer() const
00:00:00.003.246.400 M              <System.Windows.Component.GetContainer() const
00:00:00.003.246.500 M              >System.Windows.Container.Parent() const
00:00:00.003.246.500 M              <System.Windows.Container.Parent() const
00:00:00.003.246.700 M             <System.Windows.MenuItemBase.GetParentMenuItem() const
